,Date,Species,Block,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,zip_code,day_of_year,month,day_of week,year,trap_percent_of_all_mosquitos,trap_percent_with_wnv,trap_percent_with_wnv2,Depart,Sunrise,Sunset,hours_in_day,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,StnPressure,SeaLevel,ResultSpeed,AvgSpeed,ResultDir,CodeSum
0,2007-05-29,CULEX PIPIENS/RESTUANS,41,T002,41.95469,-87.800991,9,1,0,60634,149,5,1,2007,0.027473544679685127,0.004851752021563342,0.0972972972972973,10.0,4.35,19.283333333333335,14.933333333333335,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['BR', 'HZ']"
1,2007-05-29,CULEX RESTUANS,41,T002,41.95469,-87.800991,9,1,0,60634,149,5,1,2007,0.027473544679685127,0.004851752021563342,0.0972972972972973,10.0,4.35,19.283333333333335,14.933333333333335,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['BR', 'HZ']"
2,2007-05-29,CULEX RESTUANS,62,T007,41.994991,-87.769279,9,1,0,60646,149,5,1,2007,0.0005702056442953517,0.0,0.0,10.0,4.35,19.283333333333335,14.933333333333335,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['BR', 'HZ']"
3,2007-05-29,CULEX PIPIENS/RESTUANS,79,T015,41.974089,-87.824812,8,1,0,60656,149,5,1,2007,0.001251490310206681,0.023668639053254437,0.11428571428571428,10.0,4.35,19.283333333333335,14.933333333333335,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['BR', 'HZ']"
4,2007-05-29,CULEX RESTUANS,79,T015,41.974089,-87.824812,8,4,0,60656,149,5,1,2007,0.001251490310206681,0.023668639053254437,0.11428571428571428,10.0,4.35,19.283333333333335,14.933333333333335,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['BR', 'HZ']"
5,2007-05-29,CULEX RESTUANS,15,T045,41.9216,-87.666455,8,2,0,60614,149,5,1,2007,0.002599249105813876,0.008547008547008548,0.08571428571428572,10.0,4.35,19.283333333333335,14.933333333333335,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['BR', 'HZ']"
6,2007-05-29,CULEX RESTUANS,25,T046,41.891118,-87.65449100000001,8,1,0,60654,149,5,1,2007,0.004561645154362814,0.0,0.0,10.0,4.35,19.283333333333335,14.933333333333335,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['BR', 'HZ']"
7,2007-05-29,CULEX PIPIENS/RESTUANS,11,T048,41.867108,-87.654224,8,1,0,60608,149,5,1,2007,0.013299861521486385,0.0022271714922048997,0.0273972602739726,10.0,4.35,19.283333333333335,14.933333333333335,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['BR', 'HZ']"
8,2007-05-29,CULEX RESTUANS,11,T048,41.867108,-87.654224,8,2,0,60608,149,5,1,2007,0.013299861521486385,0.0022271714922048997,0.0273972602739726,10.0,4.35,19.283333333333335,14.933333333333335,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['BR', 'HZ']"
9,2007-05-29,CULEX RESTUANS,11,T049,41.896282,-87.655232,8,1,0,60642,149,5,1,2007,0.0019253697080102786,0.0038461538461538464,0.011764705882352941,10.0,4.35,19.283333333333335,14.933333333333335,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['BR', 'HZ']"
